Team,M,W,D,L,G,GA,PTS,xG,xG Change,NPxG,xGA,xGA Change,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS,xPTS Change
Liverpool,28,26,1,1,64,20,79,59.06,-4.94,55.26,27.37,+7.37,27.37,+27.88,8.48,21.23,316,117,57.86,-21.14
Manchester City,27,18,3,6,68,29,57,71.94,+3.94,66.47,26.09,-2.91,24.57,+41.90,8.23,23.90,388,90,62.75,+5.75
Leicester,28,15,5,8,54,28,50,44.58,-9.42,39.99,36.06,+8.06,31.50,+8.50,8.06,12.24,222,168,45.00,-5.00
Chelsea,28,13,6,9,47,39,45,53.47,+6.47,50.43,30.21,-8.79,28.69,+21.74,8.72,13.24,255,127,52.89,+7.89
Manchester United,28,11,9,8,42,30,42,46.58,+4.58,38.97,29.15,-0.85,28.39,+10.58,9.42,10.19,193,149,49.73,+7.73
Wolverhampton Wanderers,28,10,12,6,41,34,42,43.36,+2.36,41.07,30.41,-3.59,28.74,+12.33,12.78,9.84,134,159,47.50,+5.50
Tottenham,28,11,7,10,46,39,40,38.39,-7.61,35.96,40.64,+1.64,36.08,-0.12,10.82,9.72,180,206,37.86,-2.14
Sheffield United,27,10,10,7,29,25,40,35.33,+6.33,34.57,34.45,+9.45,32.93,+1.64,13.07,11.67,144,172,38.52,-1.48
Burnley,28,11,5,12,33,39,38,36.39,+3.39,34.87,39.25,+0.25,36.96,-2.09,11.95,8.39,89,191,36.54,-1.46
Arsenal,27,8,13,6,39,36,37,36.87,-2.13,35.35,39.25,+3.25,34.53,+0.82,10.26,10.87,203,171,36.66,-0.34
Everton,28,10,7,11,37,42,37,43.83,+6.83,43.83,35.14,-6.86,34.37,+9.46,9.27,10.49,164,144,44.67,+7.67
Crystal Palace,28,9,9,10,25,32,36,27.02,+2.02,24.74,42.92,+10.92,42.16,-17.42,12.96,7.96,173,215,28.81,-7.19
Southampton,28,10,4,14,35,51,34,40.62,+5.62,38.95,41.77,-9.23,39.49,-0.54,8.22,9.87,154,180,40.60,+6.60
Newcastle United,28,8,8,12,24,41,32,22.57,-1.43,22.57,51.36,+10.36,51.36,-28.78,19.95,6.77,89,261,19.15,-12.85
Brighton,28,6,10,12,32,40,28,38.55,+6.55,37.79,42.79,+2.79,41.26,-3.47,8.79,13.25,193,183,38.17,+10.17
West Ham,28,7,6,15,35,49,27,32.87,-2.13,30.59,55.23,+6.23,51.42,-20.84,12.66,9.00,170,226,23.98,-3.02
Watford,28,6,9,13,27,43,27,36.55,+9.55,32.74,43.14,+0.14,38.57,-5.83,12.64,9.99,165,197,36.57,+9.57
Bournemouth,28,7,6,15,28,45,27,33.02,+5.02,32.26,47.67,+2.67,44.63,-12.37,13.03,9.38,155,239,28.52,+1.52
Aston Villa,27,7,4,16,34,52,25,33.27,-0.73,30.83,58.47,+6.47,55.29,-24.46,11.50,8.11,144,273,22.37,-2.63
Norwich,28,5,6,17,25,51,21,29.53,+4.53,28.01,52.43,+1.43,46.95,-18.94,11.60,9.55,172,235,25.19,+4.19
